Westar,Bo,Oh,max_deflection,contact_time,coef_restitution,N
0.0562941176470588,0.00456401069518717,0.0495849142004925,0.224229058828985,5.225,0.5600352959335,60
0.0786256684491979,0.00456401069518717,0.0495849142004925,0.259300102369402,5.08581081081081,0.537879206308406,60
0.104679144385027,0.00456401069518717,0.0495849142004925,0.293413760681578,4.96503378378378,0.517298050183926,60
0.134454545454545,0.00456401069518717,0.0495849142004925,0.326730953009736,4.8589527027027,0.500339305218461,60
0.167951871657754,0.00456401069518717,0.0495849142004925,0.359927007046207,4.77314189189189,0.484095823040455,60
0.205171122994652,0.00456401069518717,0.0495849142004925,0.391874167668293,4.69341216216216,0.468683316348834,60
0.246112299465241,0.00456401069518717,0.0495849142004925,0.423669593165516,4.62787162162162,0.453797122258613,60
0.290775401069519,0.00456401069518717,0.0495849142004925,0.454649275276711,4.56706081081081,0.439567724365576,60
0.00418716577540107,0.00456401069518717,0.0495849142004925,0.0755811816836514,6.56959459459459,0.612390238685913,60
0.0116310160427807,0.00456401069518717,0.0495849142004925,0.11392927648637,5.95608108108108,0.616797252539633,60
0.0227967914438503,0.00456401069518717,0.0495849142004925,0.151867600595778,5.62702702702703,0.602177195831476,60
0.0376844919786096,0.00456401069518717,0.0495849142004925,0.188605367704543,5.39797297297297,0.582035865740195,60
0.112588235294118,0.0182560427807487,0.0350618290757214,0.330091923056657,5.30489864864865,0.453326771926243,60
0.157251336898396,0.0182560427807487,0.0350618290757214,0.368195322149214,5.10287162162162,0.420171575574484,60
0.209358288770053,0.0182560427807487,0.0350618290757214,0.413485475998182,4.96030405405405,0.404475548362373,60
0.268909090909091,0.0182560427807487,0.0350618290757214,0.458192385935726,4.84611486486487,0.391351380660299,60
0.335903743315508,0.0182560427807487,0.0350618290757214,0.501573366594413,4.74679054054054,0.378329687309437,60
0.410342245989305,0.0182560427807487,0.0350618290757214,0.544601628600339,4.671875,0.364782153615808,60
0.492224598930481,0.0182560427807487,0.0350618290757214,0.586128407724874,4.60363175675676,0.352352280070735,60
0.00837433155080214,0.0182560427807487,0.0350618290757214,0.124158493993721,7.95202702702703,0.188445769911399,60
0.0232620320855615,0.0182560427807487,0.0350618290757214,0.173985310128749,6.40810810810811,0.423519962634116,60
0.0455935828877005,0.0182560427807487,0.0350618290757214,0.224053501509258,5.84189189189189,0.45604301418848,60
0.0753689839572192,0.0182560427807487,0.0350618290757214,0.273149847468761,5.50608108108108,0.452459359846082,60
0.116310160427808,0.0285250668449198,0.0313602532915167,0.346284747273887,5.56030405405405,0.386721560711098,60
0.140735294117647,0.0285250668449198,0.0313602532915167,0.372781192828055,5.43462837837838,0.38336872160026,60
0.167486631016043,0.0285250668449198,0.0313602532915167,0.398465059004793,5.32719594594595,0.378637727298451,60
0.196564171122995,0.0285250668449198,0.0313602532915167,0.424345520546807,5.24138513513514,0.372137536529296,60
0.227967914438503,0.0285250668449198,0.0313602532915167,0.449432383186484,5.16300675675676,0.365670386745007,60
0.261697860962567,0.0285250668449198,0.0313602532915167,0.475270814420691,5.09341216216216,0.358707440561596,60
0.0290775401069519,0.0285250668449198,0.0313602532915167,0.20862669516057,6.96148648648649,0.264399880016033,60
0.0418716577540107,0.0285250668449198,0.0313602532915167,0.23572115607558,6.45810810810811,0.335623394202269,60
0.0569919786096257,0.0285250668449198,0.0313602532915167,0.26305120660396,6.125,0.366976112059199,60
0.0744385026737968,0.0285250668449198,0.0313602532915167,0.291178264028025,5.88918918918919,0.381458961627878,60
0.0942112299465241,0.0285250668449198,0.0313602532915167,0.318685070862457,5.70557432432432,0.386673352349876,60
0.00139572192513369,0.0410760962566845,0.0286278635613989,0.144449414276337,NaN,NaN,60
0.139572192513369,0.0410760962566845,0.0286278635613989,0.376192797927391,5.83935810810811,0.271744522672684,60
0.168882352941176,0.0410760962566845,0.0286278635613989,0.403823607652232,5.68057432432432,0.278710613497535,60
0.200983957219251,0.0410760962566845,0.0286278635613989,0.430991781790401,5.54543918918919,0.282502039434372,60
0.235877005347594,0.0410760962566845,0.0286278635613989,0.457867676053402,5.4339527027027,0.283020857397181,60
0.273561497326203,0.0410760962566845,0.0286278635613989,0.484824330711418,5.34138513513513,0.281548273108031,60
0.31403743315508,0.0410760962566845,0.0286278635613989,0.511116178325113,5.25422297297297,0.279591552154464,60
0.357304812834225,0.0410760962566845,0.0286278635613989,0.537018184345303,5.17930743243243,0.276767836252197,60
0.403363636363636,0.0410760962566845,0.0286278635613989,0.56264151178045,5.10971283783784,0.274362835267565,60
0.452213903743316,0.0410760962566845,0.0286278635613989,0.587977059569308,5.05092905405405,0.271111694600604,60
0.503855614973262,0.0410760962566845,0.0286278635613989,0.612754467741103,4.99755067567568,0.267760701879411,60
0.00558288770053476,0.0410760962566845,0.0286278635613989,0.160525469603112,NaN,NaN,60
0.558288770053476,0.0410760962566845,0.0286278635613989,0.637225816674953,4.94755067567568,0.264471066152892,60
0.0125614973262032,0.0410760962566845,0.0286278635613989,0.181923090639325,NaN,NaN,60
0.022331550802139,0.0410760962566845,0.0286278635613989,0.206782354828361,NaN,NaN,60
0.0348930481283422,0.0410760962566845,0.0286278635613989,0.235060008034898,NaN,NaN,60
0.0502459893048128,0.0410760962566845,0.0286278635613989,0.262638788090643,NaN,NaN,60
0.0683903743315508,0.0410760962566845,0.0286278635613989,0.290727826898583,6.78445945945946,0.160875601699231,60
0.0893262032085562,0.0410760962566845,0.0286278635613989,0.31977021978336,6.33716216216216,0.22541570402149,60
0.113053475935829,0.0410760962566845,0.0286278635613989,0.348079591681007,6.0535472972973,0.254749581158852,60
0.00153994652406417,0.0500037575775401,0.0272543337071706,0.167514217191504,NaN,NaN,60
0.153994652406417,0.0500037575775401,0.0272543337071706,0.399520146156141,6.18057432432432,0.18366485005418,60
0.186333529411765,0.0500037575775401,0.0272543337071706,0.427963519477941,5.95219594594595,0.206430410655811,60
0.221752299465241,0.0500037575775401,0.0272543337071706,0.456092361868246,5.7785472972973,0.219769159199682,60
0.260250962566845,0.0500037575775401,0.0272543337071706,0.484204141187442,5.64543918918919,0.226901221688921,60
0.301829518716578,0.0500037575775401,0.0272543337071706,0.511871126420771,5.52787162162162,0.231075635920808,60
0.346487967914438,0.0500037575775401,0.0272543337071706,0.538984471869282,5.4285472972973,0.232885667392456,60
0.394226310160428,0.0500037575775401,0.0272543337071706,0.565715661550475,5.34079391891892,0.233622543879436,60
0.445044545454545,0.0500037575775401,0.0272543337071706,0.592067561411818,5.26579391891892,0.233232226502556,60
0.498942673796791,0.0500037575775401,0.0272543337071706,0.618266446467048,5.19890202702703,0.232626451494909,60
0.555920695187166,0.0500037575775401,0.0272543337071706,0.643753808261539,5.13944256756757,0.231161372237476,60
0.00615978609625668,0.0500037575775401,0.0272543337071706,0.181522834647458,NaN,NaN,60
0.0138595187165775,0.0500037575775401,0.0272543337071706,0.201399104650468,NaN,NaN,60
0.0246391443850267,0.0500037575775401,0.0272543337071706,0.226456866824477,NaN,NaN,60
0.0384986631016043,0.0500037575775401,0.0272543337071706,0.2502101270775,NaN,NaN,60
0.0554380748663102,0.0500037575775401,0.0272543337071706,0.283278102428723,NaN,NaN,60
0.0754573796791444,0.0500037575775401,0.0272543337071706,0.311945329933063,NaN,NaN,60
0.0985565775401069,0.0500037575775401,0.0272543337071706,0.341314350442537,NaN,NaN,60
0.124735668449198,0.0500037575775401,0.0272543337071706,0.370589637559101,6.51368243243243,0.141267149154764,60
0.162834224598931,0.0559091310160428,0.0265042514986893,0.413437073305949,6.5839527027027,0.0983244798883591,60
0.197029411764706,0.0559091310160428,0.0265042514986893,0.442458099827849,6.22719594594595,0.145042349057362,60
0.23448128342246,0.0559091310160428,0.0265042514986893,0.47106560273231,5.99476351351351,0.169948054634638,60
0.275189839572193,0.0559091310160428,0.0265042514986893,0.499392222077724,5.81706081081081,0.185356832222427,60
0.319155080213904,0.0559091310160428,0.0265042514986893,0.527658859359456,5.67922297297297,0.194374073793647,60
0.366377005347594,0.0559091310160428,0.0265042514986893,0.55552724844125,5.56646959459459,0.200298380227009,60
0.416855614973262,0.0559091310160428,0.0265042514986893,0.582970704003207,5.47119932432433,0.203771633469285,60
0.470590909090909,0.0559091310160428,0.0265042514986893,0.609826903383977,5.38944256756757,0.205507067271886,60
0.0146550802139037,0.0559091310160428,0.0265042514986893,0.214099052895576,NaN,NaN,60
0.0260534759358289,0.0559091310160428,0.0265042514986893,0.236170536564505,NaN,NaN,60
0.0407085561497326,0.0559091310160428,0.0265042514986893,0.267018447009324,NaN,NaN,60
0.058620320855615,0.0559091310160428,0.0265042514986893,0.295451581108207,NaN,NaN,60
0.079788770053476,0.0559091310160428,0.0265042514986893,0.324882881061134,NaN,NaN,60
0.104213903743316,0.0559091310160428,0.0265042514986893,0.354280271586129,NaN,NaN,60
0.131895721925134,0.0559091310160428,0.0265042514986893,0.384433379169306,NaN,NaN,60
0.209358288770053,0.0924212165775401,0.0233745527171476,0.487148044782603,NaN,NaN,60
0.253323529411765,0.0924212165775401,0.0233745527171476,0.518412112274565,NaN,NaN,60
0.301475935828877,0.0924212165775401,0.0233745527171476,0.549594865251272,NaN,NaN,60
0.35381550802139,0.0924212165775401,0.0233745527171476,0.580086449076727,NaN,NaN,60
0.410342245989305,0.0924212165775401,0.0233745527171476,0.610081687646481,NaN,NaN,60
0.47105614973262,0.0924212165775401,0.0233745527171476,0.639834804471564,NaN,NaN,60
0.0188422459893048,0.0924212165775401,0.0233745527171476,0.281374084934951,NaN,NaN,60
0.0334973262032086,0.0924212165775401,0.0233745527171476,0.307908082965195,NaN,NaN,60
0.0523395721925134,0.0924212165775401,0.0233745527171476,0.334147203432944,NaN,NaN,60
0.0753689839572192,0.0924212165775401,0.0233745527171476,0.364396648222028,NaN,NaN,60
0.102585561497326,0.0924212165775401,0.0233745527171476,0.395099258670969,NaN,NaN,60
0.133989304812834,0.0924212165775401,0.0233745527171476,0.424776519419863,NaN,NaN,60
0.169580213903743,0.0924212165775401,0.0233745527171476,0.456126459441915,NaN,NaN,60
